,,Mês,Ano,Tmáx,Tmin,ETP
,,4,2009,34.0446666666667,18746,4.40695822739081
,,5,2009,28.4364516129032,16.0383870967742,3.52376319589024
,,6,2009,22953,10.7386666666667,2.94350996432338
,,7,2009,22.2348387096774,12.3458064516129,2.25307082628451
,,8,2009,25.8390322580645,13.4509677419355,2.0569988441969
,,9,2009,27407,15.7233333333333,1.76161552593234
,,10,2009,29.3503225806452,18.2370967741935,1.71934936192851
,,11,2009,30.3986666666667,22.3976666666667,1.90937942959507
,,12,2009,28.9916129032258,21.6561290322581,2.2676607803177
,,1,2010,29.5441935483871,21.9854838709677,2.76817958593991
,,2,2010,29635,22.3260714285714,3.18233408598065
,,3,2010,30.0887096774194,20.4777419354839,3.68756892622205
,,4,2010,27985,17.2276666666667,3.58805391922266
,,5,2010,23.4287096774193,12.7741935483871,3.09426605186096
,,6,2010,24.9686666666667,13.1956666666667,3.10447084186798
,,7,2010,24.9632258064516,12.2409677419355,2.60103304514427
,,8,2010,27.7032258064516,11.2932258064516,2.29130123364467
,,9,2010,31.1093333333333,16.5403333333333,1.88542933311227
,,10,2010,28.2696774193548,15.8783870967742,1.62019408030322
,,11,2010,29538,16.7813333333333,1.9188670434148
,,12,2010,30.6893548387097,21.1567741935484,2.3369401635058
,,1,2011,30.81,21.871935483871,2.99047200472948
,,2,2011,28.9067857142857,21.7328571428571,3.02390440274807
,,3,2011,28.9261290322581,20.4522580645161,3.37172131135845
,,4,2011,28017,18211,3.57043723314818
,,5,2011,25.0490322580645,13.6390322580645,3.40986538167078
,,6,2011,24.1256666666667,11.2436666666667,3.0608236860102
,,7,2011,24.6993548387097,12.9125806451613,2.64478779061503
,,8,2011,26.348064516129,13.1245161290323,2.22614358578023
,,9,2011,30.2286666666667,14.3196666666667,1.9931611038221
,,10,2011,30.668064516129,18.0822580645161,1.75421556663491
,,11,2011,30.2426666666667,18.2373333333333,1.87920622528364
,,12,2011,34.5922580645161,20.2396774193548,2.62434178634347
,,1,2012,32.1677419354839,20.5325806451613,3.06667879743191
,,2,2012,33.3593103448276,21.7893103448276,3.69730822970348
,,3,2012,31.8206451612903,18.8767741935484,3.94242983230685
,,4,2012,29.3776666666667,18.0253333333333,3.68412005610419
,,5,2012,26.0438709677419,14.5732258064516,3.31765104451177
,,6,2012,23.9556666666667,13.1846666666667,2.97899685780889
,,7,2012,23.4429032258065,11.2967741935484,2.77550255564192
,,8,2012,29.5058064516129,14.5677419354839,2.57531057273607
,,9,2012,32.6653333333333,15.7143333333333,2.03555794009114
,,10,2012,32.1964516129032,19.4774193548387,1.84454317711893
,,11,2012,33.5076666666667,21223,2.0673165974079
,,12,2012,33.1290322580645,22.8290322580645,2.35890885910164
,,1,2013,32.8774193548387,20.8206451612903,3.03587946029802
,,2,2013,32.1878571428571,21.7371428571429,3.45523840364933
,,3,2013,30.8845161290323,20.1738709677419,3.68668315953448
,,4,2013,27.1046666666667,16.3306666666667,3.62118890737076
,,5,2013,26.3983870967742,14.6648387096774,3.39281729448702
,,6,2013,24.2506666666667,14.8256666666667,3.05492106893519
,,7,2013,23.5551612903226,11.2625806451613,2.7778200933242
,,8,2013,25.4783870967742,10.5693548387097,2.44353377807486
,,9,2013,29.9083333333333,14681,2.04773045456586
,,10,2013,29.8425806451613,17.8483870967742,1.75250149876781
,,11,2013,31.7373333333333,19.7443333333333,1.86867526941556
,,12,2013,33.6270967741935,22.3225806451613,2.32591533900219
,,1,2014,31.0783870967742,21.5254838709677,2.69439968987818
,,2,2014,33295,21.8621428571429,3.53937081995365
