,MES,ANO,TMAX,TMIN,ETP
,9,2013,32.1706666666667,16.5386666666667,2.15864446999414
,10,2013,31.8438709677419,18.8941935483871,1.89878997944456
,11,2013,32739,20419,2.04171494254217
,12,2013,32.5203225806452,22.3503225806452,2.35218285344333
,1,2014,30.8687096774194,21.2325806451613,2.82574455537318
,2,2014,33.4035714285714,22.0403571428571,3.54341043966508
,3,2014,29.9845161290323,20.5525806451613,3.51623078994762
,4,2014,29.7713333333333,19246,3.77614238987536
,5,2014,26.2177419354839,15.3658064516129,3.41877693794157
,6,2014,26.45,14.5123333333333,3.33733560557553
,7,2014,26.6625806451613,13.4316129032258,3.11439143541937
,8,2014,30.8283870967742,15.2870967741935,2.93448706796298
,9,2014,34.1876666666667,19638,2.40871531504473
,10,2014,35.3635483870968,20.6454838709677,2.17644142621865
,11,2014,32.0946666666667,21001,1.978128414319
,12,2014,30.7025806451613,21.5290322580645,2.09780402160556
,1,2015,31.8261290322581,22.3103225806452,2.81233155684166
,2,2015,31.0982142857143,21.8607142857143,3.24579678693781
,3,2015,32.2558064516129,20.5887096774194,3.95478452325266
,4,2015,31.7576666666667,19.9076666666667,4.09636335857074
,5,2015,28.3861290322581,16.3087096774194,3.6024321997611
,6,2015,28272,15196,3.58033791784958
,7,2015,27.6354838709677,15.1551612903226,3.18350239031593
,8,2015,34.2312903225806,16.9522580645161,3.13550976761644
,9,2015,33503,18.8723333333333,2.56368079540092
,10,2015,33.9583870967742,21.2196774193548,2.14426809702818
,11,2015,32.6856666666667,22.1613333333333,1.97991408636598
,12,2015,31.2735483870968,22.4648387096774,2.08994885963132
,1,2016,30.5267741935484,21.9758064516129,2.46363023771421
,2,2016,31.2458620689655,22.6893103448276,3.04009909416865
,3,2016,30.7151612903226,20.01,3.667418144474
,4,2016,31.8796666666667,18.8463333333333,4.00159916789393
,5,2016,25.9254838709677,14.7745161290323,3.46324949271234
,6,2016,23.5496666666667,11.6083333333333,3.15339539689517
,7,2016,27.8290322580645,12.5251612903226,3.44930657792157
,8,2016,30.1725806451613,14.45,3.05155268833748
,9,2016,30263,13.9156666666667,2.52898048913993
,10,2016,32.6293548387097,18.8825806451613,2.13133709235788
,11,2016,33.8166666666667,20.0926666666667,1.94095904892149
,12,2016,31.0703225806452,21.2254838709677,2.00352358178652
,1,2017,30.0425806451613,21.5329032258064,3.60508047353021
,2,2017,30.0992857142857,21.6457142857143,3.66402200086628
,3,2017,30.1567741935484,20.9793548387097,3.64404852664813
,4,2017,27.9626666666667,17672,3.56077542480339
,5,2017,27.3829032258064,18.2496774193548,3.40628045132037
,6,2017,25.0353333333333,13.3736666666667,3.30705192525812
,7,2017,26.2822580645161,11.2909677419355,3.54218504695624
,8,2017,29.7858064516129,15.3270967741935,3.78408516960933
,9,2017,35.6393333333333,18.3523333333333,4.32017145635028
,10,2017,33.5606451612903,19.8403225806452,4.03108430118161
,11,2017,31.8463333333333,19.8443333333333,3.91270003685233
,12,2017,30.8441935483871,21.5261290322581,3.76474309454535
