@relation dados-climaticos-verao

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP-Pmoith numeric

@data
24.6,16.8,3.457352
28.2,16,3.69155
27.3,17.6,3.750343
26.6,15.7,3.533443
27.6,19.1,3.901239
28.6,18.7,3.95157
26,18.4,3.709446
30.4,16.6,3.926777
30.2,17.8,4.010388
30.3,19.1,4.12737
30,17,3.926811
28.6,16.7,3.784688
28.3,18.5,3.909863
25.1,18.1,3.608918
27.5,17.6,3.767394
27.6,17.8,3.792146
27.8,16.8,3.724963
26.8,17,3.657733
27.7,15.8,3.632208
28,15.4,3.623324
29.3,15.2,3.714545
29.8,19.5,4.114458
29.4,16,3.788203
29.8,15.6,3.787356
29.4,17.1,3.878173
29.2,16.4,3.8021
27.1,15.6,3.559274
28.6,15,3.633162
24.4,18.6,3.581962
24,18.1,3.505727
26,17.8,3.64588
26.7,17.6,3.685978
25.5,17.2,3.551287
27.6,17.4,3.74082
26,16.2,3.506311
24.2,18.5,3.545981
26,16.4,3.519097
29.5,16.4,3.807334
30.4,15.2,3.780086
30,14.6,3.694753
28.7,16.2,3.717023
28.3,15.8,3.648129
29.2,15.6,3.703192
28.8,14.4,3.568058
28,16.1,3.639316
29.2,16.4,3.759774
29.4,17.6,3.871618
26.1,17,3.546921
27.3,19.8,3.872185
28.1,18.1,3.794189
29.2,15.4,3.658762
28.7,18.3,3.851231
28.4,17.4,3.748429
26.3,17.6,3.588473
25.7,17.2,3.502215
27.2,17.8,3.668739
27.8,15,3.484538
28.9,15.1,3.577082
27,19.2,3.750339
28.1,16,3.574345
29.4,18.1,3.843773
29.4,13.2,3.441568
27,15.2,3.403439
27,17.6,3.590666
26.7,15.8,3.415382
28.7,17,3.665659
28.4,14.7,3.450433
29.2,13.9,3.44357
29.8,14,3.492334
29.4,15.2,3.54863
30.5,13,3.453612
31.1,12.1,3.422162
31.1,14,3.564508
31.2,15.6,3.690192
29.7,16.8,3.657713
28.9,16.2,3.538834
27.2,16.8,3.443791
28.7,15.2,3.427065
28.9,15.4,3.449122
29.4,15.4,3.478588
28.4,15,3.360534
27.4,16.1,3.358726
29.4,16.6,3.541467
27.4,18.4,3.515639
26.5,15.8,3.237174
28.2,16.4,3.402679
29.2,16.3,3.460443
27.8,16.3,3.343234
26.4,15,3.456544
28.8,11.9,3.398517
27.8,16.3,3.682832
25.1,17,3.51616
22.7,17,3.316005
27.1,17.4,3.717215
26.3,18.3,3.725809
23.5,18.3,3.492085
26.4,18.5,3.751219
26.1,18.4,3.717906
27.5,18.4,3.834934
30,17,3.342
28.9,16,3.751357
29.6,13.7,3.617594
30.1,15.2,3.784547
30,17,3.341591
26.6,17.8,3.70892
26.6,17.1,3.650149
28.8,13.8,3.557924
30,17,3.340395
29.5,15.3,3.740757
28.1,14.9,3.589929
25.5,16.8,3.530905
30,17,3.338303
28.1,17.1,3.771515
28.5,17.3,3.820725
29.2,16.8,3.836472
30,17,3.335175
30.1,14.8,3.742655
29.9,15.3,3.766489
29,17.3,3.856857
30,17,3.330857
26.3,18.1,3.695824
27.5,18.3,3.810786
26.1,17.8,3.651089
30,17,3.325173
28.3,17.6,3.813736
26,16.8,3.554285
29.3,16.8,3.826188
30,17,3.317938
26.5,17,4.393521
