@relation dados-climaticos-inverno

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP-Pmoith numeric

@data
27.5,12,2.528419
28,12.8,2.623527
29,10.6,2.557966
28.6,9.6,2.478772
29.8,8.9,2.522646
31.8,11.4,2.828776
31.7,11.3,2.828453
31.7,12.8,2.940367
30.8,13.3,2.927086
28.6,13.5,2.806904
30,17,2.678838
28.9,9.9,2.61006
29.2,14.5,2.952725
31.5,10,2.816451
32.1,10.3,2.890155
32.1,13.7,3.135522
29.8,12.2,2.887818
30.1,14.9,3.107388
31.1,16.1,3.273204
29.6,14.7,3.085089
29.1,14.3,3.035084
28.9,10.8,2.787866
29.9,9.9,2.806387
31.8,10.6,3.001897
32.8,11.8,3.170382
32.4,12.5,3.204431
32.5,13.3,3.281545
32.9,13.8,3.359061
31.3,13.2,3.213131
29.4,12.2,3.015145
29.8,14.7,3.237426
30.1,16.2,3.380833
26.9,9.3,1.966339
26.6,10.8,2.030055
27.6,11.7,2.131923
27.1,8.8,1.946582
27,9.6,1.983879
23.2,13.5,1.988899
26.3,7.3,1.820771
26.7,9.2,1.945525
27.9,14,2.271117
30,17,2.168828
26.9,9.5,1.974525
27.3,8.8,1.959391
26.6,9,1.933625
30,17,2.174436
30,17,2.176538
29,8.1,2.020946
27.5,11.1,2.105218
29.1,14,2.353803
26,11,2.023629
26.1,6.4,1.780335
30,17,2.194926
30,17,2.198937
26.6,8,1.905779
26.9,10.6,2.069767
30,17,2.212549
28.7,12.5,2.284132
26.7,13.5,2.234027
30,17,2.228473
30,17,2.234281
27.1,4.7,1.781065
24.6,12.2,2.066898
30,17,2.25316
30,17,2.259926
24.4,11.3,2.023228
25.5,9.5,1.989877
30,17,2.281591
29.1,8.8,2.169068
30.1,9.1,2.251189
30.7,8.7,2.27064
31.5,9.8,2.388698
27,11.4,2.229121
30.5,8,2.243288
29.4,15.7,2.637861
29.6,13.9,2.554135
30,17,2.357874
31,10.8,2.473822
31.7,9.7,2.460074
30.5,17.3,2.852031
30,17,2.396551
29.8,13.6,2.61118
28.7,7.6,2.193276
28.4,10.2,2.342239
30,17,2.437685
29.2,8.8,2.325895
29.7,10.7,2.483651
30,8.2,2.358782
29.6,17.1,2.896463
27.3,15.1,2.641518
28.5,10.5,2.440608
30,17,2.514471
28.7,12.5,2.601618
30.7,12.2,2.72125
30.1,14.5,2.84194
31.1,10.1,2.637237
32.4,12.1,2.861445
33.8,10.3,2.848644
30,17,2.595573
31,15.9,3.05716
29.4,15.5,2.940094
28.7,13.4,2.769253
30.2,17.7,3.165025
31.4,8.1,2.621766
32,18.1,3.340283
30,17,2.678838
30,17,2.690784
30,17,2.702723
33.8,13.7,3.223648
32.5,11.3,2.985584
29.9,18.3,3.299828
28.6,15.8,3.052836
27.9,14.9,2.955472
27.6,14.6,2.926466
27.3,11.7,2.715992
26.5,12.3,2.713393
28.9,12.8,2.928312
32,12.7,3.151897
33.3,14.2,3.362974
27.4,15.7,2.415032
26.2,14.6,2.279897
26.4,13.8,2.240454
30,17,2.223674
23.5,13.3,2.040833
23.8,10.1,1.875669
24.2,12.9,2.048218
