@relation dadosClimaticos

@attribute data date yyyy-MM-dd
@attribute tmax numeric
@attribute tmin numeric
@attribute tmed numeric
@attribute etp numeric

@data
2009-01-29,29.7,20.2,24.95,4.7
2009-01-30,30.4,21,25.7,4.1
2009-01-31,30.6,20.4,25.5,4.4
2009-02-01,32.8,20,26.4,6
2009-02-02,31.3,21.2,26.25,4
2009-02-03,32,19.7,25.85,5.9
2009-02-04,29,20.1,24.55,7.6
2009-02-05,32,18.7,25.35,5.8
2009-02-06,32.6,20.1,26.35,6.6
2009-02-07,32.8,21,26.9,6.6
2009-02-08,31.8,21.5,26.65,4.3
2009-02-09,31.9,21.1,26.5,5.7
2009-02-10,30.9,21.4,26.15,4.8
2009-02-11,31.5,21.8,26.65,6.6
2009-02-12,28.6,20.3,24.45,2.9
2009-02-13,23.5,19.7,21.6,0.9
2009-02-14,28.4,19.5,23.95,2.3
2009-02-15,28.9,21.1,25,4.6
2009-02-16,28.7,21.3,25,3.7
2009-02-17,31.7,20.1,25.9,6.3
2009-02-18,32.6,19.2,25.9,7.7
2009-02-19,33.3,21,27.15,6.5
2009-02-20,32.9,19.9,26.4,6.7
2009-02-21,33.6,21.1,27.35,8.3
2009-02-22,34.5,21.4,27.95,5.5
2009-02-23,31.8,21.2,26.5,7.8
2009-02-24,31.6,21.4,26.5,7.4
2009-02-25,30,20.6,25.3,4.8
2009-02-26,30.6,20.5,25.55,4.9
2009-02-27,31,20.5,25.75,2.7
2009-02-28,33.6,20.5,27.05,6.1
2009-03-01,33.5,22.6,28.05,7.5
2009-03-02,33.2,19.2,26.2,6.8
2009-03-03,34.4,20.6,27.5,5
2009-03-04,35,21.5,28.25,7.3
2009-03-05,34.6,22.4,28.5,5.6
2009-03-06,35.5,21.7,28.6,6.8
2009-03-07,34.8,20.8,27.8,9.1
2009-03-08,33.4,20.6,27,6.7
2009-03-09,32.6,20.5,26.55,6.6
2009-03-10,30.9,19.5,25.2,4.5
2009-03-11,29.9,20.1,25,3.5
2009-03-12,31.5,20.7,26.1,5.3
2009-03-13,27.3,21.5,24.4,4.2
2009-03-14,29,19,24,3.6
2009-03-15,29.5,19.7,24.6,2.9
2009-03-16,30.4,18.7,24.55,5.6
2009-03-17,28.2,19.5,23.85,3.7
2009-03-18,30.5,19.9,25.2,6.3
2009-03-19,31.3,19.8,25.55,5.2
2009-03-20,29.2,20.4,24.8,3.2
2009-03-21,29.4,20.7,25.05,4.1
2009-03-22,29.9,20.1,25,4
2009-03-23,30.6,20.4,25.5,4
2009-03-24,31,20,25.5,4.8
2009-03-25,31.8,18.4,25.1,5.8
2009-03-26,29.7,18.2,23.95,4.1
2009-03-27,29.8,19.8,24.8,2.1
2009-03-28,29.7,21.1,25.4,2.1
2009-03-29,29.6,18.4,24,3.2
2009-03-30,25.4,20.6,23,0.4
2009-03-31,29.8,19.8,24.8,4.4
2009-04-01,30.6,18.3,24.45,6.3
2009-04-02,30.6,17.9,24.25,4.5
2009-04-03,30.2,19,24.6,4.6
2009-04-04,28.6,19.6,24.1,2.8
2009-04-05,31.6,20.4,26,4.6
2009-04-06,30.4,21.1,25.75,4.1
2009-04-07,29.5,20.1,24.8,2.7
2009-04-08,30.3,19.4,24.85,6
2009-04-09,30.6,17.5,24.05,4.4
2009-04-10,30.5,17.9,24.2,5.3
2009-04-11,31.8,17.4,24.6,4.7
2009-04-12,29.7,20.4,25.05,4.8
2009-04-13,28.2,20.3,24.25,4.1
2009-04-14,25.1,18.7,21.9,1.5
2009-04-15,27.7,17.4,22.55,4.5
2009-04-16,28.4,15.5,21.95,4.2
2009-04-17,29.5,14.9,22.2,5.6
2009-04-18,29.8,14.4,22.1,5.1
2009-04-19,29.9,14.1,22,4.8
2009-04-20,29.9,14.9,22.4,4.9
2009-04-21,29.4,16.3,22.85,3.7
2009-04-22,29.8,15.2,22.5,5.1
2009-04-23,29.8,16.3,23.05,5
2009-04-24,29.6,16.1,22.85,5.4
2009-04-25,27.7,14.9,21.3,3.3
2009-04-26,28.5,14.8,21.65,4.9
2009-04-27,27.7,15,21.35,5.5
2009-04-28,28.8,15.3,22.05,3.7
2009-04-29,29.8,15.5,22.65,4.9
2009-04-30,29.5,17,23.25,5.5
2009-05-01,28.1,15.4,21.75,4.3
2009-05-02,25.6,14.8,20.2,4.5
2009-05-03,28.4,14.8,21.6,4.2
2009-05-04,27.5,16,21.75,4.3
2009-05-05,27,13.6,20.3,3.7
2009-05-06,28.6,15,21.8,4.4
2009-05-07,28.8,15.2,22,3
2009-05-08,30.1,16,23.05,3.7
2009-05-09,30.6,16.2,23.4,3.9
2009-05-10,31,17.2,24.1,5.9
2009-05-11,31.6,15.8,23.7,6.3
2009-05-12,30.5,16.6,23.55,4.1
2009-05-13,30,17,23.5,5.6
2009-05-14,30.3,15.7,23,5.7
2009-05-15,22.8,17.6,20.2,1.4
2009-05-16,23.6,12.1,17.85,2.6
2009-05-17,27.5,11.2,19.35,2.3
2009-05-18,28.8,14.6,21.7,1.9
2009-05-19,27.9,15.2,21.55,5.2
2009-05-20,26.9,13.8,20.35,4
2009-05-21,26.4,14.2,20.3,3.9
2009-05-22,26.6,12.7,19.65,3.5
2009-05-23,27.6,13,20.3,4.2
2009-05-24,29.4,13.9,21.65,4.3
2009-05-25,29.5,15.6,22.55,4.7
2009-05-26,30.2,17,23.6,5.1
2009-05-27,28.6,18.7,23.65,2.4
2009-05-28,31,18.2,24.6,3.9
2009-05-29,28.8,18.3,23.55,4.5
2009-05-30,28.6,16,22.3,3.8
2009-05-31,27.7,18.8,23.25,3.9
2009-06-01,20.4,10.7,15.55,3.5
2009-06-02,18.6,7,12.8,1.8
2009-06-03,19.5,5.4,12.45,3.3
2009-06-04,25.2,5.2,15.2,2.9
2009-06-05,28.4,11.2,19.8,5.9
2009-06-06,28.5,13.6,21.05,2.8
2009-06-07,24.8,14.6,19.7,3.7
2009-06-08,24.7,12,18.35,3.5
2009-06-09,25.2,14.9,20.05,2.9
2009-06-10,26,15.2,20.6,3.5
2009-06-11,20.7,16.4,18.55,2.4
2009-06-12,20.5,16.2,18.35,1
2009-06-13,22.7,11.3,17,3.1
2009-06-14,23.4,8.1,15.75,2.3
2009-06-15,27.6,9,18.3,3.1
2009-06-16,23.9,13.7,18.8,2.6
2009-06-17,23.3,16.1,19.7,2.4
2009-06-18,24.4,10.4,17.4,2.9
2009-06-19,26.3,9.4,17.85,2.9
2009-06-20,28.8,10.6,19.7,2.3
2009-06-21,28.6,11.4,20,3.7
2009-06-22,27.8,11.1,19.45,4.2
2009-06-23,26.7,10.2,18.45,3.5
2009-06-24,24.1,13,18.55,1.1
2009-06-25,22.4,15.9,19.15,1
2009-06-26,25.4,15.4,20.4,2.6
2009-06-27,27.7,15.6,21.65,3
2009-06-28,25.4,13.6,19.5,3.5
2009-06-29,29.2,13.3,21.25,3.6
2009-06-30,28.3,14.8,21.55,4.1
2009-07-01,28.3,16.2,22.25,5.1
2009-07-02,26.8,15.2,21,2.9
2009-07-03,27.5,14.7,21.1,0.9
2009-07-04,27.3,13.4,20.35,3.7
2009-07-05,27.2,13.4,20.3,3.9
2009-07-06,27.4,14.8,21.1,3.5
2009-07-07,27.4,13.5,20.45,2.8
2009-07-08,26.6,15,20.8,4.1
2009-07-09,28.3,14.7,21.5,5
2009-07-10,28.5,14.8,21.65,4.3
2009-07-11,25.2,18.3,21.75,2.7
2009-07-12,19.3,8.9,14.1,3.4
2009-07-13,26.2,6.2,16.2,3.5
2009-07-14,27.5,10.4,18.95,4.8
2009-07-15,28.7,13.2,20.95,2.7
2009-07-16,27.6,14.3,20.95,3.3
2009-07-17,28.7,14,21.35,4.6
2009-07-18,29.6,13.8,21.7,3.2
2009-07-19,27.9,16.7,22.3,5.1
2009-07-20,24.9,11.8,18.35,3.5
2009-07-21,29.3,11.4,20.35,4.3
2009-07-22,30.6,16.1,23.35,6.9
2009-07-23,30,15.7,22.85,4.3
2009-07-24,21.2,16.6,18.9,0.5
2009-07-25,22.7,15.1,18.9,0.1
2009-07-26,28.8,15.7,22.25,3.4
2009-07-27,29.2,17.2,23.2,2.9
2009-07-28,30.7,17.4,24.05,4.9
2009-07-29,30.7,16.7,23.7,3.8
2009-07-30,29.9,17.4,23.65,4.7
2009-07-31,31.4,15.2,23.3,4.2
2009-08-01,30.2,15.6,22.9,6.2
2009-08-02,30.9,16.8,23.85,5.1
2009-08-03,29,16.6,22.8,3.9
2009-08-04,31,15.2,23.1,4.3
2009-08-05,31,17.9,24.45,4.9
2009-08-06,31.6,17.4,24.5,7
2009-08-07,32.7,16.2,24.45,6.4
2009-08-08,31.7,16.3,24,5.1
2009-08-09,30.4,15.6,23,8.3
2009-08-10,24.2,13.7,18.95,5.3
2009-08-11,25,8.9,16.95,4.7
2009-08-12,31.1,11.2,21.15,4.1
2009-08-13,29.7,14.3,22,5.9
2009-08-14,28.8,12.6,20.7,7.7
2009-08-15,29.3,12,20.65,6.1
2009-08-16,30.6,15.2,22.9,6.7
2009-08-17,31.7,15.5,23.6,7.1
2009-08-18,30.6,16.8,23.7,8.6
2009-08-19,20.9,16.1,18.5,0.3
2009-08-20,20.4,15.6,18,0.2
2009-08-21,23.3,15,19.15,3.4
2009-08-22,23.2,9.9,16.55,3.6
2009-08-23,17,12.9,14.95,1.9
2009-08-24,24.2,14.5,19.35,2
2009-08-25,24.4,16.9,20.65,3.5
2009-08-26,26.6,14.8,20.7,4.1
2009-08-27,27.9,13,20.45,4.9
2009-08-28,29.3,13.8,21.55,6.8
2009-08-29,30.3,14.1,22.2,5.3
2009-08-30,31,14.8,22.9,7.9
2009-08-31,31.1,14.1,22.6,6
2009-09-01,32.4,15.9,24.15,4.7
2009-09-02,33.6,17.1,25.35,6.1
